Date,open,high,low,close,volume,price,market_cap,next_day_movement
11/15/2024,,,,,31235654.12,0.01333478,0,same
11/16/2024,,,,,31235654.12,0.01333478,0,up
11/17/2024,0.02056881,0.02733766,0.01150037,0.01709702,30117357.15,0.017097019,17096950.12,down
11/18/2024,,,,,15295747.55,0.008698703,8698843.61,down
11/19/2024,,,,,9299796.885,0.004764876,4764847.637,down
11/20/2024,,,,,4074450.866,0.002862268,2862249.467,down
11/21/2024,0.01668805,0.01669547,0.00177102,0.00212912,2037105.343,0.002129123,2061604.482,up
11/22/2024,,,,,1075381.679,0.0028647,2811964.045,down
11/23/2024,,,,,1341154.519,0.002363918,2363888.139,down
11/24/2024,,,,,1163239.054,0.001932728,1932702.823,down
11/25/2024,0.0021841,0.00398967,0.00121154,0.00142446,688428.7715,0.00142051,1433404.009,up
11/26/2024,,,,,1706540.625,0.001930127,1947987.386,up
11/27/2024,,,,,791177.2638,0.002117255,2117224.044,up
11/28/2024,,,,,543707.2058,0.002151487,2098239.184,down
11/29/2024,0.00142757,0.00257767,0.00133686,0.00182437,310045.8037,0.001824561,1824530.444,down
11/30/2024,,,,,259708.7306,0.001772597,1769764.739,down
12/1/2024,,,,,258270.6313,0.00158706,1593857.536,up
12/2/2024,,,,,1119856.637,0.002016889,2016848.261,down
12/3/2024,0.00182324,0.0028736,0.00147637,0.00180523,368996.7069,0.001805,1800970.182,up
12/4/2024,,,,,344173.0923,0.002037664,1999535.55,up
12/5/2024,,,,,834.3136658,0.002246866,2246818.429,up
12/6/2024,,,,,729768.3876,0.003297081,3297011.898,down
12/7/2024,0.00181543,0.00395839,0.00167245,0.00239649,629388.2835,0.002362091,2431239.878,up
12/8/2024,,,,,272680.8702,0.002537536,2537477.346,down
12/9/2024,,,,,173508.5467,0.002274775,2276876.457,down
12/10/2024,,,,,173308.02,0.001817644,1817601.299,down
12/11/2024,0.00239427,0.00292196,0.00148811,0.00167613,408.3342272,0.001676128,1676257.204,up
12/12/2024,,,,,122890.566,0.001721292,1731054.59,down
12/13/2024,,,,,125383.2446,0.001678836,1678719.632,up
12/14/2024,,,,,248858.492,0.002127764,2108670.871,down
12/15/2024,0.00167658,0.00267381,0.00152324,0.00184338,260484.2864,0.001840258,1845171.641,up
12/16/2024,,,,,116234.5177,0.002057551,2057403.653,down
12/17/2024,,,,,116522.4787,0.001814114,1813983.361,down
12/18/2024,,,,,149636.4532,0.001732359,1732234.043,down
12/19/2024,0.00185394,0.00211636,0.00139733,0.00141063,91632.53227,0.001399985,1409277.026,down
12/20/2024,,,,,195505.3861,0.001050928,1050848.897,up
12/21/2024,,,,,76246.08186,0.001180538,1183376.492,down
12/22/2024,,,,,54495.9989,0.001113076,1112989.43,down
12/23/2024,0.00141425,0.00161124,0.00098141,0.0010659,27256.00378,0.0010659,1058759.88,down
12/24/2024,,,,,44677.60748,0.001061882,1056544.063,up
12/25/2024,,,,,38064.01107,0.001198907,1198792.406,down
12/26/2024,,,,,28234.82724,0.001179363,1179246.734,down
12/27/2024,0.00106499,0.00124415,0.00090358,0.00091217,70928.75568,0.000912169,912078.9761,down
12/28/2024,,,,,52393.34373,0.000814899,818254.0329,up
12/29/2024,,,,,55820.06128,0.000816597,816516.485,up
12/30/2024,,,,,64174.6666,0.000920631,922972.3996,down
12/31/2024,0.00091182,0.00104579,0.00069365,0.00091409,30882.73336,0.000914089,913719.6881,down
1/1/2025,,,,,55342.89416,0.000877384,873147.9627,up
1/2/2025,,,,,65827.00662,0.001138998,1140178.781,down
1/3/2025,,,,,98146.41786,0.000994943,998294.3515,down
1/4/2025,0.00090814,0.00116275,0.00083625,0.00096112,47055.58754,0.000961115,960607.331,down
1/5/2025,,,,,31170.2829,0.000947858,947762.4942,down
1/6/2025,,,,,74495.96199,0.000936832,936737.3428,up
1/7/2025,,,,,195689.9457,0.001088552,1088055.38,down
1/8/2025,0.00096097,0.00133489,0.00089611,0.00095219,72069.36741,0.00095219,954331.5872,down
1/9/2025,,,,,47376.86822,0.000780531,780450.1202,down
1/10/2025,,,,,21191.86096,0.000704297,703279.3921,up
1/11/2025,,,,,34541.86705,0.000765514,765428.1716,down
1/12/2025,0.00095067,0.00096001,0.00063499,0.00068278,43423.4886,0.00068278,682703.6203,down
1/13/2025,,,,,24531.00704,0.00067735,676131.6437,down
1/14/2025,,,,,29101.8495,0.000636432,636360.0618,up
1/15/2025,,,,,36567.11853,0.000731329,730657.4111,up
1/16/2025,0.00068568,0.00078917,0.00060507,0.00078917,27841.76918,0.000789169,788918.1506,up
1/17/2025,,,,,46704.79089,0.000789541,793997.1673,up
1/18/2025,,,,,338330.2539,0.00109649,1074997.916,up
1/19/2025,,,,,702810.0108,0.001664221,1678814.034,down
1/20/2025,0.00079017,0.00294903,0.00072584,0.00096875,1465693.42,0.000968752,968633.0988,up
1/21/2025,,,,,3133086.621,0.00133578,1398836.936,up
1/22/2025,,,,,4323150.201,0.001590479,1572583.079,down
1/23/2025,,,,,398524.7672,0.001205214,1203162.506,down
1/24/2025,0.00097642,0.00295007,0.00081735,0.00089907,207198.5604,0.000899066,899495.7946,down
1/25/2025,,,,,135858.779,0.000781404,781301.6977,down
1/26/2025,,,,,128998.5044,0.000735523,732916.0463,down
1/27/2025,,,,,140798.6369,0.000693266,693174.5964,down
1/28/2025,0.00089488,0.00103848,0.00058363,0.00065255,38810.51131,0.000652555,652466.77,down
1/29/2025,,,,,87047.14436,0.000648232,648554.245,down
1/30/2025,,,,,38813.00723,0.000641888,641801.1367,down
1/31/2025,,,,,46167.31469,0.000611671,611587.3915,down
2/1/2025,0.00065712,0.00072354,0.0004968,0.00051227,52096.6091,0.000511449,511379.328,down
2/2/2025,,,,,80678.3853,0.000486242,487515.1425,up
2/3/2025,,,,,72342.42374,0.000588102,589139.4669,down
2/4/2025,,,,,115683.0877,0.000492358,492288.9771,up
2/5/2025,0.00051219,0.00067856,0.00044955,0.00059467,158259.5623,0.000591946,591862.5847,down
2/6/2025,,,,,32890.83003,0.000523811,523361.3623,down
2/7/2025,,,,,27292.46521,0.000458756,458318.3338,up
2/8/2025,,,,,32249.53705,0.000476512,476444.1588,up
2/9/2025,0.00059668,0.00059668,0.00045447,0.00054133,29575.82255,0.000541335,541257.2965,down
2/10/2025,,,,,22498.02531,0.000502272,498013.93,down
2/11/2025,,,,,30465.45955,0.000433635,430555.6269,down
2/12/2025,,,,,35769.05894,0.000395465,393212.5964,down
2/13/2025,0.00054351,0.00054631,0.00034961,0.00037485,16988.05179,0.000374852,374728.1022,down
2/14/2025,,,,,55215.64412,0.000360967,360912.0803,up
2/15/2025,,,,,35612.95313,0.000368073,368430.9794,down
2/16/2025,,,,,37999.49124,0.000346305,346144.8872,down
2/17/2025,0.00037741,0.00048005,0.00031315,0.00034613,79056.80206,0.000346252,346198.7381,down
2/18/2025,,,,,42843.53616,0.000310059,309965.0139,down
2/19/2025,,,,,15590.48016,0.000273395,273352.5438,down
2/20/2025,,,,,7909.75745,0.000272188,272298.9871,up
2/21/2025,0.00034749,0.00043645,0.00026046,0.00040099,45197.40268,0.000400988,400924.3347,down
2/22/2025,,,,,44650.04732,0.000312812,312762.5978,up
2/23/2025,,,,,13533.56285,0.000326111,326112.5671,down
2/24/2025,,,,,26546.16087,0.000288467,289678.4652,down
2/25/2025,0.00040117,0.00050281,0.00020922,0.00021141,11481.3071,0.000209222,209187.0847,up
2/26/2025,,,,,19428.16219,0.000252016,253264.6229,down
2/27/2025,,,,,10245.17746,0.000239167,238513.2156,up
2/28/2025,,,,,4204.371311,0.000264936,262090.175,up
3/1/2025,0.00021158,0.00032459,0.00020546,0.00032095,23478.17878,0.000321299,320603.1075,down
3/2/2025,,,,,4835.798057,0.000287264,286905.3287,up
3/3/2025,,,,,16430.90565,0.00033425,334783.467,down
3/4/2025,,,,,7642.513164,0.00025556,259386.8743,down
3/5/2025,0.0003211,0.00034052,0.0002212,0.00024438,6453.676681,0.000244385,244340.5338,up
3/6/2025,,,,,7389.989347,0.000246047,246284.0924,up
