id,tweet_created_at,tweet_favorite_count,tweet_lang,tweet_media_expanded_urls/0,tweet_media_expanded_urls/1,tweet_media_expanded_urls/2,tweet_media_expanded_urls/3,tweet_media_urls/0,tweet_media_urls/1,tweet_media_urls/2,tweet_media_urls/3,tweet_mentions/0,tweet_mentions/1,tweet_mentions/2,tweet_mentions/3,tweet_reply_count,tweet_retweet_count,tweet_text,tweet_url,tweet_view_count,user_followers_count
tweet-1856137155107795319,Tue Nov 12 00:49:17 +0000 2024,4536,en,https://x.com/dogecoin/status/1856137155107795319/,,,,https://pbs.twimg.com/media/GcJSN3JasAA3dHE.png,,,,,,,,2753,885,Don't be that guy crying when 1 doge = 1 doge and you can't open your wallet! https://t.co/f4lJVPrOch,https://x.com/dogecoin/status/1856137155107795319,391958,4380428
tweet-1842550156874629254,Sat Oct 05 12:59:24 +0000 2024,289,en,https://x.com/CloudAction/status/1842550156874629254/,,,,https://pbs.twimg.com/media/GZINmklbEAANmMG.jpg,,,,,,,,22,92,"$DOG with the ATH of Doge is a 228x from today's price 
GET SET ... NOT READY .. MOON https://t.co/uhYSKXoBO3",https://x.com/CloudAction/status/1842550156874629254,9517,2100
tweet-1854396587562115518,Thu Nov 07 05:32:54 +0000 2024,1304,en,https://x.com/TeslaModelDoge/status/1854396587562115518/,,,,https://pbs.twimg.com/media/Gbwj3nFXkAYT-1N.jpg,,,,,,,,43,188,$DOGE will be the currency for D.O.G.E 🐕🇺🇸 https://t.co/eUUSNh2t0W,https://x.com/TeslaModelDoge/status/1854396587562115518,30571,20231
tweet-1838847674034065871,Wed Sep 25 07:47:04 +0000 2024,262,en,https://x.com/cryptodailyTS/status/1838847674034065871/video/1,,,,https://pbs.twimg.com/amplify_video_thumb/1838847327202902016/img/L4We8TGleiJBTvlP.jpg,,,,,,,,6,39,Dogecoin &amp; Bitcoin HUGE Win Today!! $1.55 Doge By Decemeber🔥🔥🔥 $Doge #Dogecoin #Doge https://t.co/sVfP5XLQnz,https://x.com/cryptodailyTS/status/1838847674034065871,13508,27478
tweet-1859671080295870928,Thu Nov 21 18:51:51 +0000 2024,706,en,https://x.com/PepeCZBinance/status/1859671080295870928/,,,,https://pbs.twimg.com/media/Gc7g_FZXcAAHr2L.jpg,,,,,,,,34,104,"$DOGE (Dogecoin) to $1.50+

$SHIB (Shiba Inu) to 0.001

$PEPE (Pepe) to 0.01 🐸

SEND IT 🚀 https://t.co/wtW48rGFaz",https://x.com/PepeCZBinance/status/1859671080295870928,11169,12829
tweet-1856206986615918812,Tue Nov 12 05:26:46 +0000 2024,654,en,https://x.com/TeslaModelDoge/status/1856206986615918812/,,,,https://pbs.twimg.com/media/GcKSaneWYAAaOyb.jpg,,,,,,,,51,126,"😳 OH MY GOD 42 CENTS DOGECOIN 🤯 

🚀 $DOGE IS STARTING TO TAKE OFF 🚀 https://t.co/SVkND0fTco",https://x.com/TeslaModelDoge/status/1856206986615918812,15767,20231
tweet-1855651960814190795,Sun Nov 10 16:41:18 +0000 2024,527,en,https://x.com/TeslaModelDoge/status/1855651960814190795/,,,,https://pbs.twimg.com/media/GcCZn6UXAAA740c.jpg,,,,,,,,38,89,"🚨 DOGE $DOGE DOGE 🚨

📈 FLYING OVER 25¢ STRAIGHT TO 26¢ 📈

🚀 LFGGGG!!!!!!! 🚀🚀🚀🚀🚀🚀🚀🚀🚀 https://t.co/067mgI0yjU",https://x.com/TeslaModelDoge/status/1855651960814190795,12222,20231
tweet-1855666240024424463,Sun Nov 10 17:38:02 +0000 2024,205,en,https://x.com/CryptoSLE10/status/1855666240024424463/,,,,https://pbs.twimg.com/media/GcCmnCZWAAA87DK.jpg,,,,,,,,11,31,The great conversion is accelerating.  $DOGE https://t.co/FVV0698rS3,https://x.com/CryptoSLE10/status/1855666240024424463,3657,11815
tweet-1856018734554456346,Mon Nov 11 16:58:44 +0000 2024,441,en,https://x.com/TeslaModelDoge/status/1856018734554456346/,,,,https://pbs.twimg.com/media/GcHnM5YW0AArcdc.jpg,,,,,,,,32,62,"👑 $DOGE IS ON FIRE 🔥 

● 30¢ ✅ 

● 32¢ ✅ 

○ 33¢ incoming ⁉️ https://t.co/isFC7WJLJa",https://x.com/TeslaModelDoge/status/1856018734554456346,16018,20231
tweet-1845852665726771323,Mon Oct 14 15:42:24 +0000 2024,239,en,https://x.com/TeslaModelDoge/status/1845852665726771323/,,,,https://pbs.twimg.com/media/GZ3JNxgWIAASrcO.jpg,,,,,,,,16,28,"📈 $DOGE just reclaimed $0.1150 📈

Looking SUPER STRONG today #Dogecoin 🚨 https://t.co/QJLJijr2ML",https://x.com/TeslaModelDoge/status/1845852665726771323,4058,20231
tweet-1855400791059861676,Sun Nov 10 00:03:14 +0000 2024,360,en,https://x.com/TeslaModelDoge/status/1855400791059861676/,,,,https://pbs.twimg.com/media/Gb-1L02WkAA73d-.jpg,,,,,,,,21,48,"🚨 WHOA: $0.22¢ DOGECOIN ‼️

🚀 YES, TWENTY TWO CENTS 🚀 https://t.co/nJQ0YYYDma",https://x.com/TeslaModelDoge/status/1855400791059861676,17204,20231
